restaurant_id,restaurant_name,url,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,has_online_delivery,is_table_reservation_supported,establishment_types
16520436,Joe's Coffee,https://www.zomato.com/dublin/joes-coffee-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Arnotts, Liffey Street, Dublin Dublin 1",North City,Dublin,91,53.3486583333,-6.2642944444,Dublin 1,97,"North City, Dublin",Cafe,20,3.3,Average,9,0,0,[]
9100243,The Bald Barista Cafe,https://www.zomato.com/dublin/the-bald-barista-cafe-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"68 Aungier Street, Dublin Dublin 2",South City West,Dublin,91,53.3396694444,-6.2658388889,Dublin 2,97,"South City West, Dublin",Cafe,20,3.5,Good,17,0,0,[]
9101578,Urban Mess,https://www.zomato.com/dublin/urban-mess-east-wall?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"East Point Business Park, East Wall, Dublin Dublin 3",East Wall,Dublin,91,53.3558050651,-6.2243982777,Dublin 3,97,"East Wall, Dublin",Cafe,10,3.0,Average,5,0,0,[]
9101056,The Joy of Cha,https://www.zomato.com/dublin/the-joy-of-cha-temple-bar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10 East Essex Street, Temple Bar, Dublin Dublin 2",Temple Bar,Dublin,91,53.3451500000,-6.2660027778,Dublin 2,97,"Temple Bar, Dublin",Cafe,25,3.3,Average,8,0,0,[]
9101322,Nelly's,https://www.zomato.com/dublin/nellys-drumcondra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"40 Lower Drumcondra Road, Drumcondra, Dublin Dublin 9",Drumcondra,Dublin,91,53.3633828636,-6.2583822012,Dublin 9,97,"Drumcondra, Dublin",Cafe,20,3.2,Average,7,0,0,[]
16522461,Zaytoon,https://www.zomato.com/dublin/zaytoon-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"44-45 Camden Street Lower, Dublin Dublin 2",South City West,Dublin,91,53.3338666667,-6.2650888889,Dublin 2,97,"South City West, Dublin","Kebab, Iranian",25,3.6,Good,28,0,0,[]
9100957,Zaytoon,https://www.zomato.com/dublin/zaytoon-temple-bar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14-15 Parliament Street, Temple Bar, Dublin Dublin 2",Temple Bar,Dublin,91,53.3449754710,-6.2673404440,Dublin 2,97,"Temple Bar, Dublin","Kebab, Iranian",25,3.7,Good,19,0,0,[]
16521291,Istanbull Kebab & Pizza House,https://www.zomato.com/dublin/istanbull-kebab-pizza-house-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"17 Talbot Street, Dublin Dublin 1",North City,Dublin,91,53.3508416667,-6.2553583333,Dublin 1,97,"North City, Dublin","Kebab, Burger, Pizza, Fast Food",20,2.8,Average,9,0,0,[]
9100544,Passion 4 Food,https://www.zomato.com/dublin/passion-4-food-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"27 Clanbrassil Street Lower, Dublin Dublin 8",South City West,Dublin,91,53.3346166667,-6.2745305556,Dublin 8,97,"South City West, Dublin","Kebab, Fast Food",25,3.2,Average,5,0,0,[]
9101112,Falafel and Kebab,https://www.zomato.com/dublin/falafel-and-kebab-temple-bar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11  East Essex Street, Temple Bar, Dublin 2",Temple Bar,Dublin,91,53.3451410016,-6.2659399956,2,97,"Temple Bar, Dublin","Kebab, Pakistani",30,3.1,Average,7,0,0,[]
9100360,Babylon,https://www.zomato.com/dublin/babylon-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"83 Camden Street Lower, South City West, Dublin Dublin 2",South City West,Dublin,91,53.3358488740,-6.2652845308,Dublin 2,97,"South City West, Dublin","Kebab, Burger, Fast Food",20,2.6,Average,8,0,0,[]
9100296,Toni's Diner,https://www.zomato.com/dublin/tonis-diner-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Charlotte Way, Dublin, South City West, Dublin Dublin 2",South City West,Dublin,91,53.3337665303,-6.2648664415,Dublin 2,97,"South City West, Dublin","Kebab, Burger, Fast Food",20,2.6,Average,5,0,0,[]
16522451,Aprile,https://www.zomato.com/dublin/aprile-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"46 South Richmond Street, Dublin Dublin 2",South City West,Dublin,91,53.3313833333,-6.2649388889,Dublin 2,97,"South City West, Dublin","Burger, Kebab, Fish and Chips, Fast Food",15,2.7,Average,5,0,0,[]
16509207,Abrakebabra,https://www.zomato.com/dublin/abrakebabra-drumcondra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4 Drumcondra Road Lower, Drumcondra, Dublin Dublin 9",Drumcondra,Dublin,91,53.3689420000,-6.2544770000,Dublin 9,97,"Drumcondra, Dublin","Kebab, Fast Food",20,2.7,Average,4,0,0,[]
16517422,Diamond,https://www.zomato.com/dublin/diamond-drumcondra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"163 Drumcondra Road Lower, Drumcondra, Dublin Dublin 9",Drumcondra,Dublin,91,53.3678712413,-6.2555514649,Dublin 9,97,"Drumcondra, Dublin","Fast Food, Kebab",20,2.5,Average,7,0,0,[]
9100700,Abrakebabra,https://www.zomato.com/AbraTempleBar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"23 Temple Bar, Temple Bar, Dublin Dublin 2",Temple Bar,Dublin,91,53.3457128481,-6.2617765367,Dublin 2,97,"Temple Bar, Dublin","Kebab, Fast Food",20,2.5,Average,5,0,0,[]
9100797,Abrakebabra,https://www.zomato.com/dublin/abrakebabra-1-temple-bar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"66 Dame Street, Temple Bar, Dublin Dublin 2",Temple Bar,Dublin,91,53.3443503718,-6.2654370815,Dublin 2,97,"Temple Bar, Dublin","Kebab, Fast Food",20,0,Not rated,1,0,0,[]
9100459,Bar-B-Q Tonight,https://www.zomato.com/dublin/bar-b-q-tonight-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"35 Clanbrassil Street Lower, City Centre South, Dublin Dublin 8",South City West,Dublin,91,53.3339416667,-6.2748944444,Dublin 8,97,"South City West, Dublin","Kebab, Pakistani",30,0,Not rated,3,0,0,[]
16521297,Abrakebabra,https://www.zomato.com/AbraLiffeyValley?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Food Court, Liffey Valley Shopping Centre, Fonthill Road, Clondalkin, Dublin Dublin 22","Liffey Valley Shopping Centre, Clondalkin",Dublin,91,53.3532262014,-6.3904850185,Dublin 22,97,"Liffey Valley Shopping Centre, Clondalkin, Dublin","Kebab, Fast Food",20,0,Not rated,2,0,0,[]
9100410,Kebabish,https://www.zomato.com/dublin/kebabish-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"39 Clanbrassil Street Lower, South City West, Dublin Dublin 8",South City West,Dublin,91,53.3334472222,-6.2748666667,Dublin 8,97,"South City West, Dublin",Kebab,30,0,Not rated,3,0,0,[]
16517433,Abrakebabra,https://www.zomato.com/AbraRathmines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11 Rathgar Road, Rathmines, Dublin Dublin 6",Rathmines,Dublin,91,53.3216460000,-6.2668670000,Dublin 6,97,"Rathmines, Dublin","Kebab, Fast Food",20,0,Not rated,3,0,0,[]
9100123,Turkish Kebab House,https://www.zomato.com/dublin/turkish-kebab-house-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"133 Parnell Street, Dublin Dublin 1",North City,Dublin,91,53.3538730000,-6.2583090000,Dublin 1,97,"North City, Dublin","Kebab, Fast Food",20,0,Not rated,3,0,0,[]
16517420,Fairview Grill,https://www.zomato.com/dublin/fairview-grill-fairview?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"25 Annesley Bridge Road, Fairview, Dublin Dublin 3",Fairview,Dublin,91,53.3621872169,-6.2373506650,Dublin 3,97,"Fairview, Dublin","Fish and Chips, Pizza, Kebab, Fast Food",25,0,Not rated,3,0,0,[]
16520751,Abrakebabra,https://www.zomato.com/AbraTallaght?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2nd Floor, The Square, Tallaght, Dublin Dublin 24","The Square Shopping Centre, Tallaght",Dublin,91,53.2868000000,-6.3728722222,Dublin 24,97,"The Square Shopping Centre, Tallaght, Dublin","Kebab, Fast Food",20,0,Not rated,1,0,0,[]
16518430,Roma II,https://www.zomato.com/dublin/roma-ii-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"28 Wexford Street, City Centre South, Dublin Dublin 2",South City West,Dublin,91,53.3368194444,-6.2654583333,Dublin 2,97,"South City West, Dublin","Fish and Chips, Burger, Kebab, Fast Food",15,0,Not rated,1,0,0,[]
9100265,Green Nineteen,https://www.zomato.com/dublin/green-nineteen-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"19 Camden Street Lower, Dublin Dublin 2",South City West,Dublin,91,53.3352520000,-6.2650130000,Dublin 2,97,"South City West, Dublin","Sandwich, European, Cafe, Fish and Chips",35,4.0,Very Good,60,0,0,[]
